,gene_id
1224,Diablo
1225,Dido1
1226,Dio2
1227,Dip2b
1228,Diras2
1229,Dirc2
1230,Disp2
1231,Dixdc1
1232,Dkk3
1233,Dkkl1
1234,Dlat
1235,Dld
1236,Dleu7
1237,Dlg1
1238,Dlg2
1239,Dlg3
1240,Dlgap1
1241,Dlgap4
1242,Dlst
1243,Dlx1
1244,Dlx1as
1245,Dlx6os1
1246,Dmd
1247,Dmtf1
1248,Dmtn
1249,Dmwd
1250,Dmxl1
1251,Dmxl2
1252,Dnaja1
1253,Dnaja2
1254,Dnaja3
1255,Dnaja4
1256,Dnajb1
1257,Dnajb11
1258,Dnajb14
1259,Dnajb2
1260,Dnajb4
1261,Dnajb5
1262,Dnajb9
1263,Dnajc1
1264,Dnajc10
1265,Dnajc15
1266,Dnajc19
1267,Dnajc21
1268,Dnajc27
1269,Dnajc3
1270,Dnajc5
1271,Dnajc6
1272,Dnajc7
1273,Dnajc8
1274,Dnajc9
1275,Dner
1276,Dnm1
1277,Dnm1l
1278,Dnm2
1279,Dnm3
1280,Dnpep
1281,Dnttip2
1282,Dock10
1283,Dock3
1284,Dock4
1285,Dock7
1286,Dock9
1287,Dok5
1288,Dopey1
1289,Dos
1290,Dpf2
1291,Dph3
1292,Dpm1
1293,Dpm2
1294,Dpp10
1295,Dpp6
1296,Dpp8
1297,Dpy19l1
1298,Dpy30
1299,Dpysl2
1300,Dr1
1301,Dram2
1302,Drap1
1303,Drg1
1304,Drg2
1305,Dscr3
1306,Dst
1307,Dstn
1308,Dtd1
1309,Dtl
1310,Dtna
1311,Dtnbp1
1312,Dtx3
1313,Dus3l
1314,Dusp1
1315,Dusp11
1316,Dusp14
1317,Dusp26
1318,Dusp3
1319,Dusp6
1320,Dvl1
1321,Dym
1322,Dync1h1
1323,Dync1i1
1324,Dync1i2
1325,Dync1li1
1326,Dync1li2
1327,Dync2h1
1328,Dynll1
1329,Dynll2
1330,Dynlrb1
1331,Dynlt3
1332,Dzank1
1333,Dzip3
1334,E2f6
1335,E530001K10Rik
1336,Eapp
1337,Ecd
1338,Ech1
1339,Echdc2
1340,Echs1
1341,Eci1
1342,Eci2
1343,Ecm1
1344,Ecsit
1345,Edf1
1346,Edil3
1347,Ednrb
1348,Eea1
1349,Eef1a1
1350,Eef1b2
1351,Eef1e1
1352,Eef2
1353,Eepd1
1354,Efcab14
1355,Efemp1
1356,Efemp2
1357,Efhd2
1358,Efr3a
1359,Efr3b
1360,Eftud2
1361,Egfem1
1362,Egfl7
1363,Egfr
1364,Egln3
1365,Egr1
1366,Egr3
1367,Egr4
1368,Ehd3
1369,Eid1
1370,Eif1
1371,Eif1a
1372,Eif1ax
1373,Eif1b
1374,Eif2ak1
1375,Eif2b1
1376,Eif2s1
1377,Eif2s2
1378,Eif2s3y
1379,Eif3a
1380,Eif3b
1381,Eif3c
1382,Eif3d
1383,Eif3e
1384,Eif3f
1385,Eif3g
1386,Eif3h
1387,Eif3i
1388,Eif3k
1389,Eif3l
1390,Eif3m
1391,Eif4a1
1392,Eif4a2
1393,Eif4a3
1394,Eif4b
1395,Eif4e
1396,Eif4g1
1397,Eif4g2
1398,Eif4g3
1399,Eif4h
1400,Eif5
1401,Eif5a
1402,Eif5b
1403,Eif6
1404,Elavl1
1405,Elavl2
1406,Elavl4
1407,Elmo1
1408,Elmo2
1409,Elmod1
1410,Elof1
1411,Elovl1
1412,Elovl4
1413,Elovl5
1414,Elovl7
1415,Elp2
1416,Elp3
1417,Elp5
1418,Eltd1
1419,Emb
1420,Emc1
1421,Emc10
1422,Emc2
1423,Emc3
1424,Emc4
1425,Emc6
1426,Emc7
1427,Emc8
1428,Emcn
1429,Emd
1430,Eml1
